cz,Name,College_Graduation_Rate_rP_gP_pall
cz36302,"Salmon, ID",0.2747
cz21102,"Amery, WI",0.2746
cz32801,"Waco, TX",0.2746
cz12502,"Washington Court House, OH",0.2746
cz30300,"Fayetteville, AR & MO & OK",0.2745
cz30902,"Littlefield, TX",0.2741
cz26004,"International Falls, MN",0.274
cz8201,"Barnwell, SC",0.2739
cz33902,"Sherman, OK & TX",0.2736
cz32201,"Huntsville, TX",0.2733
cz10000,"Panama City, FL",0.2733
cz33300,"Tyler, TX",0.2726
cz3400,"Houma, LA",0.2724
cz34804,"Clayton, NM",0.2723
cz3600,"Alexandria, LA",0.2722
cz33500,"Texarkana, AR & TX",0.272
cz21101,"Rice Lake, WI",0.2719
cz32503,"Haskell, TX",0.2717
cz32302,"Brady, TX",0.2715
cz3700,"Lake Charles, LA",0.2712
cz402,"Martinsville, VA",0.2711
cz30000,"Russellville, AR",0.2705
cz10802,"Demopolis, AL",0.2703
cz5000,"Tupelo, MS",0.27
cz4302,"Searcy, AR",0.2697
cz15700,"Scioto, OH",0.2693
cz12401,"Alpena, MI",0.269
cz37601,"Elko, NV",0.269
cz13700,"Concord, IN & MI",0.2685
cz11800,"Mount Pleasant, MI",0.2684
cz8503,"Valdosta, GA",0.2683
cz29504,"Sedalia, MO",0.2683
cz33901,"Ada, OK",0.2674
cz6502,"Cleveland, TN",0.2673
cz5402,"Glasgow, KY & TN",0.2667
cz16902,"Spencer, WV",0.2667
cz11202,"Welch, WV",0.2665
cz26401,"Ekalaka, MT & SD",0.2663
cz37603,"Portola, CA",0.2661
cz34307,"Colstrip, MT",0.266
cz35904,"Richfield, UT",0.2656
cz12702,"Maysville, KY",0.2656
cz31503,"Laredo, TX",0.2654
cz37200,"Fresno, CA",0.2649
cz9001,"Vidalia, GA",0.2647
cz4701,"Greenwood, MS",0.2636
cz3102,"Brookhaven, MS",0.2633
cz11203,"Big Stone Gap, VA",0.2622
cz8000,"Sumter, SC",0.2621
cz24600,"Farmington, MO",0.2613
cz37000,"Modesto, CA",0.2604
cz10600,"Jasper, AL",0.2603
cz5500,"Columbia, TN",0.2599
cz8702,"Statesboro, GA",0.2595
cz33700,"Ardmore, OK",0.2593
cz20002,"Calais, ME",0.2589
cz37902,"Reno, NV",0.2589
cz25101,"Mountain Home, AR & MO",0.2589
cz5800,"Dickson, TN",0.2584
cz4800,"Greenville, MS",0.2583
cz26902,"Little Falls, MN",0.2579
cz25200,"Henderson, KY",0.2579
cz6800,"Lakeland, FL",0.2577
cz8701,"Hinesville, GA",0.2575
cz13000,"Elizabethtown, KY",0.2571
cz5201,"New Albany, MS",0.2568
cz8601,"Waycross, GA",0.2567
cz32402,"Sweetwater, TX",0.2564
cz34111,"Ketchikan, AK",0.2563
cz32701,"Brownwood, TX",0.2563
cz4602,"Somerset, KY & TN",0.2561
cz200,"Morristown, TN",0.256
cz34110,"Sitka, AK",0.2559
cz32401,"Big Spring, TX",0.2559
cz31600,"Brownsville, TX",0.2552
cz37100,"Bakersfield, CA",0.2552
cz9002,"Milledgeville, GA",0.2547
cz2800,"Laurel, MS",0.2546
cz34801,"Las Vegas, NM",0.2544
cz25900,"Jonesboro, AR",0.2543
cz601,"North Wilkesboro, NC",0.253
cz34108,"Kodiak, AK",0.2528
cz5100,"Corinth, MS & TN",0.2528
cz30801,"Hobbs, NM & TX",0.2526
cz12600,"Wayne, IN",0.2525
cz33802,"Chickasha, OK",0.2522
cz11002,"Atmore, AL",0.2522
cz33200,"Paris, TX",0.2522
cz12402,"Grayling charter, MI",0.2521
cz4502,"Hazard, KY",0.2519
cz7800,"Ocala, FL",0.2506
cz30603,"Truth or Consequences, NM",0.2499
cz10301,"Eufaula, AL & GA",0.2499
cz3201,"Jena, LA",0.2495
cz6600,"Rome, AL & GA",0.2494
cz4004,"Many, LA",0.2473
cz22602,"Shawano, WI",0.2469
cz11303,"Colonial Beach, VA",0.2466
cz12001,"Big Rapids, MI",0.2464
cz6402,"Crossville, TN",0.2457
cz30906,"Memphis, TX",0.2457
cz32305,"Del Rio, TX",0.2457
cz10200,"Albany, GA",0.2454
cz31302,"Beeville, TX",0.245
cz35802,"Ontario, ID & OR",0.2449
cz25105,"Batesville, AR",0.2448
cz301,"Middlesborough, KY & TN",0.2443
cz30100,"Fort Smith, AR & OK",0.2432
cz38100,"Yuma, AZ & CA",0.2405
cz30604,"Deming, NM",0.2401
cz9702,"Americus, GA",0.2397
cz30200,"Muskogee, OK",0.2393
cz25104,"Heber Springs, AR",0.2377
cz37901,"Las Vegas, AZ & NV",0.2376
cz25102,"West Plains, AR & MO",0.2372
cz27603,"Southwest Jackson UT, SD",0.2369
cz38902,"Newport, OR",0.2367
cz37602,"Winnemucca, NV",0.2359
cz25702,"Poplar Bluff, MO",0.2355
cz34803,"Tucumcari, NM",0.2353
cz32202,"Nacogdoches, TX",0.2352
cz32802,"Corsicana, TX",0.2348
cz4903,"Lexington, TN",0.2346
cz30908,"Plainview, TX",0.2338
cz9200,"Griffin, GA",0.2337
cz25800,"Blytheville, AR & MO",0.2335
cz6301,"McMinnville, TN",0.2333
cz9003,"Dublin, GA",0.2328
